City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
251,Patiya,BD,2022-03-07 03:30:42,22.2931,91.9762,76.95,57,3,6.91
252,Kaeo,NZ,2022-03-07 03:30:43,-35.1,173.7833,74.32,74,100,10.89
253,Cap Malheureux,MU,2022-03-07 03:30:43,-19.9842,57.6142,81.46,80,100,8.99
254,Kamaishi,JP,2022-03-07 03:30:44,39.2667,141.8833,43.75,50,40,3.85
255,Calama,CL,2022-03-07 03:30:44,-22.4667,-68.9333,57.69,67,0,6.91
256,Mariinsk,RU,2022-03-07 03:30:45,56.2139,87.7472,34.2,98,99,16.42
257,Prince Rupert,CA,2022-03-07 03:30:45,54.3161,-130.3201,41.09,93,100,2.3
258,Ramgarh,IN,2022-03-07 03:30:46,23.6333,85.5167,71.65,17,0,3.62
259,Kamenka,RU,2022-03-07 03:30:47,51.3223,42.7678,14.76,97,95,8.57
260,Dubrovnik,HR,2022-03-07 03:30:47,42.6481,18.0922,46.04,65,40,4.61
261,Pangai,TO,2022-03-07 03:26:21,-19.8,-174.35,84.31,65,75,3.44
262,Kokkola,FI,2022-03-07 03:30:48,63.8385,23.1307,21.36,93,75,3.44
263,Victoria,HK,2022-03-07 03:30:08,22.2855,114.1577,73.18,83,100,3.0
264,Taloqan,AF,2022-03-07 03:30:48,36.7361,69.5345,55.45,54,99,8.03
265,Lavrentiya,RU,2022-03-07 03:30:49,65.5833,-171.0,14.86,95,100,9.6
266,Nabire,ID,2022-03-07 03:30:49,-3.3667,135.4833,86.95,63,94,6.58
267,Limoux,FR,2022-03-07 03:30:49,42.9167,2.1667,46.17,92,100,2.08
268,Buturlino,RU,2022-03-07 03:30:50,55.5667,44.8974,19.9,97,91,5.61
269,Yar-Sale,RU,2022-03-07 03:30:51,66.8333,70.8333,-24.0,99,95,9.93
270,Sao Joao Da Barra,BR,2022-03-07 03:30:51,-21.6403,-41.0511,76.86,87,2,13.27
271,Kholtoson,RU,2022-03-07 03:30:52,50.2981,103.3097,33.51,58,100,3.69
272,Kaseda,JP,2022-03-07 03:30:52,31.4167,130.3167,52.83,60,100,3.85
273,Bengkulu,ID,2022-03-07 03:30:53,-3.8004,102.2655,85.01,64,98,4.5
274,Leningradskiy,RU,2022-03-07 03:30:53,69.3833,178.4167,-10.57,96,100,8.59
275,Port Moresby,PG,2022-03-07 03:30:54,-9.4431,147.1797,89.02,66,20,5.75
276,Kyaikkami,MM,2022-03-07 03:30:54,16.08,97.5675,84.51,58,98,3.22
277,Vardo,NO,2022-03-07 03:30:55,70.3705,31.1107,21.54,61,0,15.97
278,Tautira,PF,2022-03-07 03:30:55,-17.7333,-149.15,86.02,75,63,14.14
279,Manzanillo,CU,2022-03-07 03:30:56,20.3433,-77.1167,73.85,81,2,13.22
280,Richards Bay,ZA,2022-03-07 03:30:56,-28.783,32.0377,74.59,80,66,6.08
281,Ust-Omchug,RU,2022-03-07 03:30:57,61.15,149.6333,-1.43,87,78,4.59
282,Mount Gambier,AU,2022-03-07 03:30:57,-37.8333,140.7667,71.51,53,75,19.57
283,Fenyi,CN,2022-03-07 03:30:58,27.8112,114.6681,59.31,66,34,8.46
284,Sisak,HR,2022-03-07 03:30:58,45.4661,16.3783,35.19,62,100,6.62
285,Neiafu,TO,2022-03-07 03:30:59,-18.65,-173.9833,84.88,79,75,8.05
286,Opalenica,PL,2022-03-07 03:31:00,52.3089,16.4128,31.17,88,8,6.17
287,Ilulissat,GL,2022-03-07 03:31:00,69.2167,-51.1,12.22,79,75,14.97
288,Ust-Maya,RU,2022-03-07 03:31:01,60.4167,134.5333,6.21,85,100,2.13
289,Wanning,CN,2022-03-07 03:31:01,18.8003,110.3967,77.2,72,96,10.85
290,Oriximina,BR,2022-03-07 03:31:02,-1.7656,-55.8661,73.76,96,100,1.66
291,Fortuna,US,2022-03-07 03:31:02,40.5982,-124.1573,47.66,90,75,6.91
